Species,Code,,EATS ID, Carbon,Nitrogen,P Conc.,K Conc.,Ca Conc.,Mg Conc.,Fe Conc.,Al Conc.,
,,,,- wt. % -,- wt. % -,- % -,- % -,- % -,- % -,- mg/kg -,- mg/kg -,
Qualea cordata,QUCO,2,RR10588,44.03,1.34,0.081,0.527,0.540,0.188,77,6201,
Qualea cordata,QUCO,3,RR10589,43.79,1.29,0.079,0.433,0.433,0.210,67,7029,
Qualea grandiflora,QUGR,1,RR10478,46.75,1.43,0.063,0.332,0.251,0.101,44,4461,
Qualea grandiflora,QUGR,2,RR10479,44.32,1.18,0.050,0.371,0.747,0.240,86,8365,
Qualea grandiflora,QUGR,3,RR10480,46.11,1.78,0.087,0.365,0.484,0.249,66,9773,
Qualea multiflora,QUMU,1,RR10481,45.57,1.92,0.088,0.320,0.351,0.209,103,13905,
Qualea multiflora,QUMU,2,RR10482,45.70,1.61,0.072,0.305,0.373,0.193,125,13660,
Qualea multiflora,QUMU,3,RR10483,46.36,1.83,0.070,0.473,0.414,0.228,146,5344,
Rapanea guianensis,RAGU,1,RR10484,50.70,1.04,0.053,0.372,0.467,0.204,41,36,
Rapanea guianensis,RAGU,2,RR10485,51.99,1.33,0.073,0.325,0.369,0.221,38,27,
Rapanea guianensis,RAGU,3,RR10486,50.52,1.63,0.076,0.392,0.532,0.285,53,42,
Rapanea lancifolia,RALA,1,RR10487,52.76,1.40,0.089,0.418,0.532,0.169,101,97,
Rapanea umbellata,RAUM,1,RR10488,51.87,1.36,0.079,0.547,0.596,0.168,58,55,
Rapanea umbellata,RAUM,2,RR10489,51.91,1.11,0.073,0.636,0.536,0.156,52,54,
Rapanea umbellata,RAUM,3,RR10490,50.96,1.14,0.075,0.721,0.798,0.216,52,52,
Roupala montana,ROMO,1,RR10491,49.71,0.87,0.050,0.204,0.187,0.142,53,208,
Roupala montana,ROMO,2,RR10492,50.07,0.88,0.050,0.191,0.161,0.125,44,236,
Roupala montana,ROMO,3,RR10493,47.91,0.74,0.040,0.176,0.180,0.130,57,238,
