IndCode,LeafNum,L,W,H,Comments,,
ASTO2,3,10.73,5.05,1.75,,,
MYUM3,3,18.10,6.40,1.75,,,
ANCA2,5,15.00,2.52,1.75,,,
PLPO1,1,9.29,5.63,1.74,,,
TAOC1,3,13.20,3.80,1.74,,,
PEOB1,3,8.90,3.89,1.74,,,
PLPO3,5,5.47,4.70,1.74,,,
POTO4,4,20.80,9.60,1.73,,,
OCCO3,4,7.72,2.74,1.73,,,
SYRE1,1,9.52,2.77,1.73,,,
OUSP2,2,9.97,4.60,1.73,,,
STPO2,1,9.61,2.50,1.73,,,
BYLA2,1,10.33,4.51,1.73,,,
FAMO3,2,15.00,5.73,1.73,,,
DAFA1,5,8.35,1.69,1.73,,,
TACA1,3,8.51,1.57,1.72,,,
VOTU1,3,8.65,1.51,1.72,,,
MIAL2,3,9.37,3.94,1.72,,,
CRFL2,2,8.76,3.60,1.72,,,
TACA1,2,10.56,1.17,1.70,,,
CAGU3,1,10.28,3.71,1.70,,,
MYUM3,1,16.90,6.00,1.69,,,
LAHA2,5,9.16,3.57,1.69,,,
STPO3,5,10.63,2.78,1.69,,,
MYFE2,5,10.71,2.53,1.69,,,
TAOC1,5,11.70,1.93,1.68,,,
QUMU1,2,10.26,3.18,1.68,,,
CUVE3,1,11.25,4.35,1.68,,,
PORA2,3,15.02,5.77,1.68,,,
